studentid,cohorttermindex,pathway,creditsearned,collegecreditsearned,collegecreditsattempted
67406,6,99,,,
67409,1,1,9,9,9
67409,2,1,12,12,15
67409,3,99,,,
67409,4,99,,,
67409,5,99,,,
67409,6,99,,,
67411,1,4,6,6,6
67411,2,4,6,6,6
67411,3,4,6,6,6
67411,4,4,15,15,15
67411,5,99,,,
67411,6,99,,,
67413,1,1,15,15,15
67413,2,99,,,
67413,3,99,,,
67413,4,99,,,
67413,5,99,,,
67413,6,99,,,
67417,1,2,12,12,12
67417,2,2,9,9,9
67417,3,99,,,
67417,4,99,,,
67417,5,99,,,
67417,6,99,,,
67418,1,1,15,15,15
67418,2,1,12,12,12
67418,3,99,,,
67418,4,99,,,
67418,5,99,,,
67418,6,99,,,
67422,1,1,3,3,6
67422,2,1,3,3,3
67422,3,1,9,9,12
67422,4,1,6,6,6
67422,5,100,,,
67422,6,100,,,
67425,1,3,3,3,3
67425,2,3,6,6,6
67425,3,3,3,3,3
67425,4,2,12,12,15
67425,5,2,6,6,6
67425,6,100,,,
67426,1,2,15,12,12
67426,2,2,15,15,15
67426,3,2,3,3,3
67426,4,2,12,12,15
67426,5,2,3,3,3
67426,6,2,3,3,6
67429,1,2,12,12,15
67429,2,2,9,9,9
67429,3,99,,,
67429,4,99,,,
67429,5,99,,,
67429,6,99,,,
67430,1,2,15,15,15
67430,2,2,15,15,15
67430,3,99,,,
67430,4,99,,,
67430,5,99,,,
67430,6,99,,,
67431,1,1,15,15,15
67431,2,1,6,6,6
67431,3,1,15,15,15
67431,4,1,15,15,15
67431,5,100,,,
67431,6,100,,,
67443,1,1,15,15,15
67443,2,1,3,3,3
67443,3,1,6,6,6
67443,4,1,15,15,15
67443,5,1,3,3,3
67443,6,99,,,
67444,1,2,9,9,9
67444,2,2,3,3,3
67444,3,2,15,15,15
67444,4,2,6,6,6
67444,5,99,,,
67444,6,99,,,
67445,1,2,15,15,15
67445,2,2,6,6,6
67445,3,2,9,9,9
67445,4,2,3,3,3
67445,5,100,,,
67445,6,100,,,
67446,1,2,18,15,15
67446,2,2,18,18,21
67446,3,2,18,18,18
67446,4,101,,,
67446,5,101,,,
67446,6,101,,,
67447,1,4,3,3,6
67447,2,4,15,15,15
67447,3,99,,,
67447,4,99,,,
67447,5,99,,,
67447,6,99,,,
67453,1,2,12,12,12
67453,2,2,15,15,15
67453,3,2,3,3,3
67453,4,2,3,3,3
67453,5,99,,,
67453,6,99,,,
67455,1,1,15,15,15
67455,2,1,15,15,15
67455,3,1,3,3,3
67455,4,99,,,
67455,5,99,,,
67455,6,99,,,
67456,1,1,15,15,15
67456,2,1,3,3,3
67456,3,1,15,15,15
67456,4,1,12,12,12
67456,5,100,,,
67456,6,100,,,
67458,1,2,9,9,9
67458,2,2,6,6,6
67458,3,100,,,
67458,4,100,,,
67458,5,100,,,
67458,6,100,,,
67463,1,4,6,6,6
67463,2,4,12,12,12
67463,3,4,3,3,3
67463,4,99,,,
67463,5,99,,,
67463,6,99,,,
67464,1,4,12,12,12
67464,2,4,15,15,18
67464,3,4,12,12,12
67464,4,4,6,6,6
67464,5,99,,,
67464,6,99,,,
67465,1,1,6,6,6
67465,2,1,15,15,15
67465,3,1,6,6,6
67465,4,1,9,9,9
67465,5,1,9,9,9
67465,6,99,,,
67474,1,4,3,3,3
67474,2,4,12,12,12
67474,3,99,,,
67474,4,99,,,
67474,5,99,,,
67474,6,99,,,
67478,1,2,18,18,18
67478,2,2,15,12,15
67478,3,2,18,18,18
67478,4,2,15,15,18
67478,5,101,,,
67478,6,101,,,
67483,1,3,12,12,12
67483,2,3,6,6,9
67483,3,3,9,9,12
67483,4,100,,,
67483,5,100,,,
67483,6,100,,,
67484,1,2,6,6,6
67484,2,2,9,6,6
67484,3,2,6,6,9
67484,4,2,12,12,15
67484,5,2,9,9,12
67484,6,99,,,
67491,1,3,12,12,12
67491,2,3,15,15,15
67491,3,3,15,15,15
67491,4,100,,,
67491,5,100,,,
67491,6,100,,,
67492,1,2,6,6,6
67492,2,2,6,6,6
67492,3,2,15,15,15
67492,4,99,,,
67492,5,99,,,
67492,6,99,,,
67494,1,4,9,9,9
67494,2,4,12,12,12
67494,3,4,3,3,3
67494,4,4,15,15,15
67494,5,99,,,
67494,6,99,,,
67500,1,1,6,6,6
67500,2,1,6,6,6
67500,3,1,12,12,12
67500,4,1,3,3,3
67500,5,100,,,
67500,6,100,,,
67507,1,2,6,6,6
67507,2,2,12,12,12
67507,3,2,12,12,15
67507,4,99,,,
67507,5,99,,,
67507,6,99,,,
67508,1,3,12,12,12
67508,2,3,15,15,15
67508,3,3,12,12,12
67508,4,3,12,12,12
67508,5,4,3,3,3
67508,6,99,,,
67509,1,4,15,15,15
67509,2,4,3,3,6
67509,3,4,12,12,12
67509,4,4,9,9,9
67509,5,4,15,15,15
67509,6,99,,,
67518,1,1,6,3,3
67518,2,1,6,6,6
67518,3,99,,,
67518,4,99,,,
67518,5,99,,,
67518,6,99,,,
67520,1,2,12,9,9
67520,2,2,12,12,12
67520,3,2,12,12,12
67520,4,2,12,12,12
67520,5,2,18,18,18
67520,6,101,,,
67521,1,1,15,9,9
67521,2,1,18,15,15
67521,3,1,18,18,18
67521,4,1,12,12,15
67521,5,101,,,
67521,6,101,,,
67523,1,4,6,6,6
67523,2,4,9,9,9
67523,3,100,,,
67523,4,100,,,
67523,5,100,,,
67523,6,100,,,
67527,1,1,12,12,12
67527,2,1,9,6,9
67527,3,1,3,0,0
67527,4,1,9,9,9
67527,5,1,3,3,3
67527,6,99,,,
67528,1,3,6,6,6
67528,2,3,12,12,12
67528,3,3,15,15,15
67528,4,2,15,15,15
67528,5,2,15,15,15
67528,6,99,,,
67530,1,2,6,6,6
67530,2,2,15,15,18
67530,3,99,,,
67530,4,99,,,
67530,5,99,,,
67530,6,99,,,
67534,1,3,18,18,18
67534,2,3,18,18,18
67534,3,101,,,
67534,4,101,,,
67534,5,101,,,
67534,6,101,,,
67535,1,4,6,6,6
67535,2,4,15,15,15
67535,3,4,9,6,6
67535,4,4,15,15,15
67535,5,99,,,
67535,6,99,,,
67549,1,3,15,15,15
67549,2,3,9,9,9
67549,3,99,,,
67549,4,99,,,
67549,5,99,,,
67549,6,99,,,
67558,1,2,6,6,6
67558,2,2,9,9,9
67558,3,2,3,3,3
67558,4,2,15,15,18
67558,5,2,3,3,3
67558,6,100,,,
67561,1,3,3,3,6
67561,2,3,6,6,6
67561,3,3,12,12,12
67561,4,3,9,9,12
67561,5,99,,,
67561,6,99,,,
67568,1,3,6,6,6
67568,2,3,6,6,9
67568,3,3,6,6,6
67568,4,2,6,6,6
67568,5,2,3,3,3
67568,6,99,,,
67571,1,4,15,15,18
67571,2,4,9,9,9
67571,3,4,12,12,12
67571,4,4,12,12,15
67571,5,99,,,
67571,6,99,,,
67572,1,1,15,15,15
67572,2,1,12,12,12
67572,3,1,3,3,3
67572,4,99,,,
67572,5,99,,,
67572,6,99,,,
67579,1,4,9,9,12
67579,2,4,9,9,12
67579,3,4,3,3,3
67579,4,4,6,6,6
67579,5,4,9,9,9
67579,6,100,,,
67581,1,3,3,3,3
67581,2,3,15,15,15
67581,3,3,12,12,15
67581,4,100,,,
67581,5,100,,,
67581,6,100,,,
67582,1,1,15,15,18
67582,2,1,6,6,9
67582,3,1,6,6,9
67582,4,1,15,15,15
67582,5,1,15,15,15
67582,6,99,,,
67585,1,2,3,3,6
67585,2,2,15,15,15
67585,3,2,6,6,6
67585,4,99,,,
67585,5,99,,,
67585,6,99,,,
67588,1,2,15,15,15
67588,2,2,15,12,12
67588,3,99,,,
67588,4,99,,,
67588,5,99,,,
67588,6,99,,,
67589,1,2,12,12,12
67589,2,2,3,3,6
67589,3,2,15,15,15
67589,4,2,9,9,9
67589,5,100,,,
67589,6,100,,,
67590,1,2,3,3,3
67590,2,2,9,9,12
67590,3,99,,,
67590,4,99,,,
67590,5,99,,,
67590,6,99,,,
67597,1,4,9,9,9
67597,2,4,15,15,15
67597,3,4,12,12,12
67597,4,4,15,15,15
67597,5,4,6,6,9
67597,6,100,,,
67598,1,3,15,15,15
67598,2,3,15,12,12
67598,3,3,15,15,18
67598,4,3,3,3,6
67598,5,3,3,3,3
67598,6,99,,,
67605,1,2,9,9,9
67605,2,2,12,12,12
67605,3,2,12,12,15
67605,4,2,6,6,9
67605,5,99,,,
67605,6,99,,,
67607,1,3,18,18,21
67607,2,101,,,
67607,3,101,,,
67607,4,101,,,
67607,5,101,,,
67607,6,101,,,
67617,1,3,6,6,6
67617,2,3,3,0,3
67617,3,3,15,15,15
67617,4,3,12,12,12
67617,5,3,9,9,9
67617,6,100,,,
67621,1,2,3,3,3
67621,2,2,3,3,3
67621,3,2,15,15,15
67621,4,2,15,15,18
67621,5,2,12,12,12
67621,6,99,,,
67626,1,2,15,15,15
67626,2,2,12,12,12
67626,3,2,3,3,3
67626,4,2,9,9,9
67626,5,99,,,
67626,6,99,,,
67629,1,2,12,12,12
67629,2,2,15,15,15
67629,3,2,9,9,9
67629,4,2,6,6,6
67629,5,2,3,3,3
67629,6,99,,,
67630,1,4,12,12,15
67630,2,99,,,
67630,3,99,,,
67630,4,99,,,
67630,5,99,,,
67630,6,99,,,
67636,1,2,6,3,3
67636,2,2,12,12,15
67636,3,2,3,3,6
67636,4,2,3,0,0
67636,5,99,,,
67636,6,99,,,
67639,1,2,15,15,15
67639,2,2,18,18,18
67639,3,2,15,15,15
67639,4,2,18,18,18
67639,5,101,,,
67639,6,101,,,
67640,1,3,6,6,6
67640,2,3,12,12,15
67640,3,3,15,15,15
67640,4,99,,,
67640,5,99,,,
67640,6,99,,,
67642,1,1,6,6,6
67642,2,1,15,15,18
67642,3,1,15,15,15
67642,4,1,6,6,6
67642,5,1,9,9,9
67642,6,1,6,6,6
67648,1,4,9,9,12
67648,2,4,15,15,15
67648,3,4,12,12,12
67648,4,4,12,12,15
67648,5,99,,,
67648,6,99,,,
67668,1,2,15,12,12
67668,2,2,18,15,15
67668,3,2,15,15,18
67668,4,2,18,15,15
67668,5,101,,,
67668,6,101,,,
67672,1,1,12,12,12
67672,2,1,6,6,6
67672,3,1,9,9,9
67672,4,1,3,3,3
67672,5,1,12,12,12
67672,6,100,,,
67678,1,1,6,6,6
67678,2,1,15,15,15
67678,3,1,3,3,6
67678,4,1,15,15,15
67678,5,99,,,
67678,6,99,,,
67682,1,3,15,15,18
67682,2,3,9,9,12
67682,3,3,6,6,9
67682,4,2,6,6,6
67682,5,2,3,3,3
67682,6,100,,,
67696,1,4,6,6,6
67696,2,4,6,6,6
67696,3,4,15,15,15
67696,4,4,3,3,3
67696,5,99,,,
67696,6,99,,,
67712,1,4,12,12,12
67712,2,4,15,15,15
67712,3,4,6,3,6
67712,4,4,15,15,15
67712,5,4,6,6,6
67712,6,99,,,
67717,1,3,12,12,12
67717,2,3,12,9,9
67717,3,3,12,12,15
67717,4,3,18,18,18
67717,5,3,18,18,18
67717,6,101,,,
67719,1,3,3,3,3
67719,2,3,6,6,6
67719,3,3,3,3,3
67719,4,3,9,9,9
67719,5,3,15,15,15
67719,6,100,,,
67720,1,3,12,12,12
67720,2,3,9,9,9
67720,3,99,,,
67720,4,99,,,
67720,5,99,,,
67720,6,99,,,
67733,1,3,15,15,15
67733,2,3,3,3,3
67733,3,99,,,
67733,4,99,,,
67733,5,99,,,
67733,6,99,,,
67752,1,3,15,15,15
67752,2,3,6,6,6
67752,3,99,,,
67752,4,99,,,
67752,5,99,,,
67752,6,99,,,
67755,1,4,15,15,15
67755,2,4,6,6,6
67755,3,4,9,9,9
67755,4,4,12,12,12
67755,5,99,,,
67755,6,99,,,
67761,1,1,3,3,3
67761,2,1,6,6,6
67761,3,1,6,3,3
67761,4,1,12,12,12
67761,5,99,,,
67761,6,99,,,
67766,1,1,15,15,15
67766,2,1,12,12,12
67766,3,1,15,15,15
67766,4,100,,,
67766,5,100,,,
67766,6,100,,,
67771,1,4,12,12,12
67771,2,99,,,
67771,3,99,,,
67771,4,99,,,
67771,5,99,,,
67771,6,99,,,
67782,1,1,9,9,9
67782,2,1,6,6,6
67782,3,1,3,3,3
67782,4,1,15,15,15
67782,5,1,9,9,9
67782,6,99,,,
67789,1,2,3,3,3
67789,2,2,15,15,15
67789,3,99,,,
67789,4,99,,,
67789,5,99,,,
67789,6,99,,,
67790,1,1,3,3,3
67790,2,1,6,6,6
67790,3,1,15,15,15
67790,4,1,3,3,3
67790,5,99,,,
67790,6,99,,,
67805,1,2,12,12,12
67805,2,2,12,12,12
67805,3,2,6,6,6
67805,4,2,15,15,15
67805,5,2,3,3,3
67805,6,99,,,
67817,1,3,12,12,12
67817,2,3,6,6,6
67817,3,3,9,9,9
67817,4,2,6,6,6
67817,5,2,12,12,12
67817,6,99,,,
67818,1,1,15,15,15
67818,2,1,12,12,15
67818,3,1,9,9,9
67818,4,1,9,9,9
67818,5,99,,,
67818,6,99,,,
67822,1,3,12,12,12
67822,2,3,6,6,6
67822,3,3,6,6,6
67822,4,3,9,9,9
67822,5,100,,,
67822,6,100,,,
67823,1,2,15,15,18
67823,2,2,18,18,18
67823,3,2,15,15,15
67823,4,2,12,12,15
67823,5,101,,,
67823,6,101,,,
67825,1,2,6,6,6
67825,2,2,9,6,6
67825,3,2,3,3,3
67825,4,2,15,15,15
67825,5,99,,,
67825,6,99,,,
67827,1,1,3,3,3
67827,2,1,9,9,9
67827,3,1,12,12,12
67827,4,1,3,3,3
67827,5,100,,,
67827,6,100,,,
67828,1,2,15,12,12
67828,2,2,15,12,12
67828,3,2,3,3,3
67828,4,2,6,6,9
67828,5,99,,,
67828,6,99,,,
67829,1,2,9,9,9
67829,2,2,12,12,12
67829,3,2,15,15,15
67829,4,2,3,3,3
67829,5,99,,,
67829,6,99,,,
67833,1,2,9,9,9
67833,2,2,6,6,6
67833,3,99,,,
67833,4,99,,,
67833,5,99,,,
67833,6,99,,,
67835,1,1,12,12,12
67835,2,1,15,15,15
67835,3,1,9,9,9
67835,4,1,3,0,3
67835,5,1,12,12,12
67835,6,100,,,
67844,1,2,6,6,6
67844,2,2,9,9,9
67844,3,2,15,15,15
67844,4,2,9,9,9
67844,5,2,6,6,6
67844,6,99,,,
67847,1,2,15,15,18
67847,2,2,9,6,6
67847,3,99,,,
67847,4,99,,,
67847,5,99,,,
67847,6,99,,,
67851,1,4,9,9,9
67851,2,4,9,9,9
67851,3,4,15,12,15
67851,4,4,12,12,12
67851,5,99,,,
67851,6,99,,,
67866,1,4,9,9,9
67866,2,4,15,15,15
67866,3,4,15,15,15
67866,4,4,15,15,15
67866,5,99,,,
67866,6,99,,,
67869,1,2,3,3,3
67869,2,2,3,3,3
67869,3,2,3,3,3
67869,4,2,12,12,15
67869,5,100,,,
67869,6,100,,,
67876,1,4,15,15,15
67876,2,4,9,9,9
67876,3,4,9,9,9
67876,4,4,9,9,9
67876,5,4,3,3,3
67876,6,99,,,
67884,1,4,3,3,3
67884,2,4,12,12,12
67884,3,4,12,12,12
67884,4,99,,,
67884,5,99,,,
67884,6,99,,,
67887,1,2,15,15,15
67887,2,2,6,6,6
67887,3,2,12,12,12
67887,4,2,12,12,15
67887,5,99,,,
67887,6,99,,,
67891,1,4,6,6,6
67891,2,4,12,12,12
67891,3,4,3,3,3
67891,4,4,9,9,9
67891,5,4,6,6,6
67891,6,4,15,15,15
67893,1,3,12,12,12
67893,2,3,15,12,12
67893,3,3,15,15,15
67893,4,99,,,
67893,5,99,,,
67893,6,99,,,
67904,1,2,3,3,6
67904,2,2,12,12,12
67904,3,2,12,12,12
67904,4,2,15,15,18
67904,5,2,12,12,12
67904,6,99,,,
67907,1,3,6,6,6
67907,2,3,9,9,9
67907,3,3,15,15,15
67907,4,99,,,
67907,5,99,,,
67907,6,99,,,
67914,1,3,9,9,9
67914,2,3,15,15,15
67914,3,3,6,6,6
67914,4,99,,,
67914,5,99,,,
67914,6,99,,,
67915,1,1,15,15,15
67915,2,1,12,12,12
67915,3,1,12,12,15
67915,4,1,9,9,9
67915,5,99,,,
67915,6,99,,,
67930,1,4,6,6,6
67930,2,4,6,6,6
67930,3,4,15,12,12
67930,4,4,9,9,9
67930,5,100,,,
67930,6,100,,,
67931,1,4,6,3,3
67931,2,4,6,6,6
67931,3,4,12,12,12
67931,4,4,9,9,9
67931,5,99,,,
67931,6,99,,,
67937,1,3,12,12,12
67937,2,3,3,3,3
67937,3,3,3,3,3
67937,4,3,9,9,9
67937,5,99,,,
67937,6,99,,,
67941,1,4,15,15,15
67941,2,4,9,9,9
67941,3,4,12,12,15
67941,4,4,15,15,15
67941,5,4,3,3,3
67941,6,4,15,15,15
67943,1,4,18,18,18
67943,2,4,18,12,15
67943,3,101,,,
67943,4,101,,,
67943,5,101,,,
67943,6,101,,,
67947,1,2,6,6,9
67947,2,2,9,9,9
67947,3,2,12,12,12
67947,4,99,,,
67947,5,99,,,
67947,6,99,,,
67950,1,4,3,3,3
67950,2,4,15,15,15
67950,3,4,3,3,3
67950,4,4,3,3,3
67950,5,99,,,
67950,6,99,,,
67952,1,3,12,12,12
67952,2,3,15,15,15
67952,3,3,12,12,15
67952,4,3,9,6,6
67952,5,4,15,15,18
67952,6,101,,,
67957,1,2,9,9,9
67957,2,2,12,12,15
67957,3,100,,,
67957,4,100,,,
67957,5,100,,,
67957,6,100,,,
67959,1,4,15,15,15
67959,2,4,9,9,9
67959,3,99,,,
67959,4,99,,,
67959,5,99,,,
67959,6,99,,,
67962,1,2,6,6,6
67962,2,2,15,15,15
67962,3,100,,,
67962,4,100,,,
67962,5,100,,,
67962,6,100,,,
67964,1,1,6,6,6
67964,2,1,9,9,9
67964,3,1,12,12,12
67964,4,1,3,3,6
67964,5,100,,,
67964,6,100,,,
67981,1,3,3,3,3
67981,2,3,12,12,12
67981,3,3,9,9,9
67981,4,3,15,15,15
67981,5,4,15,15,15
67981,6,99,,,
67987,1,2,9,9,9
67987,2,2,3,3,3
67987,3,2,6,6,6
67987,4,2,15,15,18
67987,5,2,6,3,6
67987,6,2,12,12,12
67993,1,2,12,12,12
67993,2,2,12,12,12
67993,3,2,15,15,15
67993,4,2,15,15,15
67993,5,2,15,15,15
67993,6,99,,,
67994,1,3,9,9,9
67994,2,3,12,12,15
67994,3,3,6,6,6
67994,4,99,,,
67994,5,99,,,
67994,6,99,,,
68011,1,4,12,12,12
68011,2,4,15,15,15
68011,3,4,12,12,12
68011,4,4,12,12,12
68011,5,99,,,
68011,6,99,,,
68012,1,2,9,9,9
68012,2,2,15,15,15
68012,3,2,12,12,12
68012,4,2,12,12,12
68012,5,99,,,
68012,6,99,,,
68017,1,2,9,9,9
68017,2,2,6,6,6
68017,3,2,15,12,12
68017,4,2,9,9,9
68017,5,2,6,3,3
68017,6,99,,,
68027,1,2,18,18,18
68027,2,2,18,18,18
68027,3,2,18,18,18
68027,4,101,,,
68027,5,101,,,
68027,6,101,,,
68029,1,2,9,9,9
68029,2,2,3,3,3
68029,3,2,9,9,9
68029,4,2,12,12,12
68029,5,99,,,
68029,6,99,,,
68032,1,2,3,3,3
68032,2,2,15,15,15
68032,3,2,3,3,3
68032,4,2,9,9,9
68032,5,2,9,9,9
68032,6,100,,,
68033,1,4,3,3,3
68033,2,4,12,9,9
68033,3,4,3,3,3
68033,4,100,,,
68033,5,100,,,
68033,6,100,,,
68034,1,2,9,6,6
68034,2,2,15,15,15
68034,3,100,,,
68034,4,100,,,
68034,5,100,,,
68034,6,100,,,
68038,1,2,6,6,6
68038,2,2,3,3,3
68038,3,2,9,9,9
68038,4,2,15,15,18
68038,5,2,6,6,6
68038,6,2,15,15,15
68044,1,1,15,15,15
68044,2,1,15,15,18
68044,3,1,9,9,9
68044,4,1,15,15,15
68044,5,1,9,9,9
68044,6,99,,,
68045,1,4,3,0,0
68045,2,4,12,12,12
68045,3,4,12,12,12
68045,4,4,12,12,12
68045,5,100,,,
68045,6,100,,,
68047,1,4,12,12,12
68047,2,4,3,3,3
68047,3,4,12,9,9
68047,4,4,3,3,6
68047,5,4,12,12,12
68047,6,4,3,3,3
68062,1,1,6,6,6
68062,2,1,9,9,9
68062,3,1,15,15,15
68062,4,1,6,6,6
68062,5,99,,,
68062,6,99,,,
68065,1,1,12,12,12
68065,2,1,3,3,6
68065,3,1,15,15,15
68065,4,1,9,9,9
68065,5,99,,,
68065,6,99,,,
68069,1,2,12,12,12
68069,2,2,12,12,15
68069,3,2,12,12,12
68069,4,2,9,9,9
68069,5,2,15,15,15
68069,6,101,,,
68074,1,2,6,6,6
68074,2,2,6,6,6
68074,3,2,12,12,15
68074,4,2,6,6,6
68074,5,2,12,12,12
68074,6,99,,,
68087,1,2,15,15,15
68087,2,2,12,12,15
68087,3,2,12,12,12
68087,4,2,6,6,6
68087,5,2,12,12,12
68087,6,2,12,9,9
68094,1,4,12,12,12
68094,2,4,15,15,15
68094,3,99,,,
68094,4,99,,,
68094,5,99,,,
68094,6,99,,,
68095,1,2,9,9,9
68095,2,2,3,3,3
68095,3,2,12,12,12
68095,4,100,,,
68095,5,100,,,
68095,6,100,,,
68098,1,2,15,15,15
68098,2,99,,,
68098,3,99,,,
68098,4,99,,,
68098,5,99,,,
68098,6,99,,,
68099,1,2,3,3,3
68099,2,2,3,3,3
68099,3,2,15,15,15
68099,4,2,12,12,12
68099,5,2,3,3,6
68099,6,2,9,9,12
68106,1,4,12,12,12
68106,2,4,15,15,18
68106,3,4,6,6,6
68106,4,4,6,6,9
68106,5,4,15,15,18
68106,6,99,,,
68108,1,2,15,15,18
68108,2,2,3,3,3
68108,3,2,6,6,6
68108,4,2,6,6,6
68108,5,2,3,3,3
68108,6,99,,,
68109,1,4,6,6,6
68109,2,4,12,12,12
68109,3,4,3,3,3
68109,4,4,3,3,6
68109,5,99,,,
68109,6,99,,,
68115,1,1,15,15,15
68115,2,1,3,3,3
68115,3,1,9,9,9
68115,4,1,9,9,9
68115,5,99,,,
68115,6,99,,,
68125,1,2,3,3,6
68125,2,2,6,6,6
68125,3,100,,,
68125,4,100,,,
68125,5,100,,,
68125,6,100,,,
68128,1,4,18,18,18
68128,2,4,18,18,18
68128,3,4,18,18,18
68128,4,101,,,
68128,5,101,,,
68128,6,101,,,
68135,1,3,12,12,12
68135,2,3,15,15,15
68135,3,3,15,15,18
68135,4,2,15,15,15
68135,5,2,9,9,9
68135,6,100,,,
68137,1,2,15,15,15
68137,2,2,6,6,6
68137,3,2,6,6,6
68137,4,2,15,15,15
68137,5,2,9,9,12
68137,6,99,,,
68146,1,4,15,12,12
68146,2,4,6,6,6
68146,3,4,15,15,15
68146,4,99,,,
68146,5,99,,,
68146,6,99,,,
68151,1,3,3,3,3
68151,2,3,6,6,9
68151,3,3,12,12,12
68151,4,3,9,9,12
68151,5,3,15,12,12
68151,6,3,9,9,9
68155,1,4,9,9,9
68155,2,99,,,
68155,3,99,,,
68155,4,99,,,
68155,5,99,,,
68155,6,99,,,
68161,1,2,9,9,9
68161,2,2,12,12,12
68161,3,2,6,6,6
68161,4,2,9,9,9
68161,5,2,9,9,9
68161,6,99,,,
68163,1,1,6,6,9
68163,2,1,12,12,12
68163,3,1,12,12,15
68163,4,1,6,6,6
68163,5,1,12,12,12
68163,6,99,,,
68165,1,4,15,15,15
68165,2,4,9,9,12
68165,3,4,15,15,15
68165,4,99,,,
68165,5,99,,,
68165,6,99,,,
68170,1,1,3,3,3
68170,2,1,3,3,3
68170,3,99,,,
68170,4,99,,,
68170,5,99,,,
68170,6,99,,,
68172,1,2,15,15,15
68172,2,99,,,
68172,3,99,,,
68172,4,99,,,
68172,5,99,,,
68172,6,99,,,
68175,1,2,9,9,9
68175,2,2,3,3,3
68175,3,2,3,3,3
68175,4,2,12,12,12
68175,5,99,,,
68175,6,99,,,
68176,1,3,15,15,15
68176,2,3,12,12,12
68176,3,3,15,15,15
68176,4,3,15,15,15
68176,5,4,12,9,9
68176,6,101,,,
68178,1,1,12,9,9
68178,2,1,3,3,3
68178,3,1,3,3,3
68178,4,1,9,9,9
68178,5,99,,,
68178,6,99,,,
68185,1,2,15,15,15
68185,2,99,,,
68185,3,99,,,
68185,4,99,,,
68185,5,99,,,
68185,6,99,,,
68187,1,4,15,9,9
68187,2,4,15,12,12
68187,3,4,15,15,15
68187,4,4,12,9,9
68187,5,4,12,12,12
68187,6,101,,,
68188,1,1,3,3,3
68188,2,1,3,3,3
68188,3,1,9,9,9
68188,4,1,6,6,6
68188,5,1,3,3,3
68188,6,99,,,
68190,1,3,6,6,6
68190,2,3,12,12,12
68190,3,3,9,9,9
68190,4,3,15,15,18
68190,5,99,,,
68190,6,99,,,
68191,1,2,15,12,12
68191,2,2,9,9,9
68191,3,2,6,6,6
68191,4,2,3,3,3
68191,5,2,9,9,12
68191,6,99,,,
68194,1,3,12,12,12
68194,2,3,9,9,9
68194,3,3,15,15,15
68194,4,3,9,9,9
68194,5,3,9,9,12
68194,6,100,,,
68198,1,4,6,6,6
68198,2,4,3,3,3
68198,3,4,6,6,6
68198,4,4,12,12,12
68198,5,99,,,
68198,6,99,,,
68199,1,3,3,3,6
68199,2,3,15,15,15
68199,3,3,12,12,12
68199,4,2,15,15,15
68199,5,2,9,9,9
68199,6,100,,,
68202,1,3,6,6,6
68202,2,3,3,3,3
68202,3,3,12,12,12
68202,4,3,9,9,9
68202,5,99,,,
68202,6,99,,,
68212,1,2,6,6,9
68212,2,2,9,9,9
68212,3,99,,,
68212,4,99,,,
68212,5,99,,,
68212,6,99,,,
68213,1,3,12,12,12
68213,2,3,15,15,15
68213,3,99,,,
68213,4,99,,,
68213,5,99,,,
68213,6,99,,,
68215,1,3,9,9,9
68215,2,3,15,15,15
68215,3,3,15,15,15
68215,4,100,,,
68215,5,100,,,
68215,6,100,,,
68225,1,1,3,0,0
68225,2,1,12,12,12
68225,3,1,15,15,15
68225,4,99,,,
68225,5,99,,,
68225,6,99,,,
68229,1,2,15,15,15
68229,2,2,9,9,9
68229,3,2,6,6,6
68229,4,2,9,9,12
68229,5,2,3,3,3
68229,6,2,12,12,12
68234,1,1,9,9,9
68234,2,99,,,
68234,3,99,,,
68234,4,99,,,
68234,5,99,,,
68234,6,99,,,
68237,1,1,3,3,3
68237,2,1,9,9,9
68237,3,100,,,
68237,4,100,,,
68237,5,100,,,
68237,6,100,,,
68238,1,1,3,3,3
68238,2,1,6,6,6
68238,3,1,12,12,12
68238,4,99,,,
68238,5,99,,,
68238,6,99,,,
68243,1,2,15,15,18
68243,2,2,3,3,3
68243,3,2,6,6,6
68243,4,2,12,12,12
68243,5,2,3,3,3
68243,6,99,,,
68245,1,4,6,6,6
68245,2,4,12,12,12
68245,3,4,6,6,6
68245,4,4,15,15,15
68245,5,4,3,3,3
68245,6,99,,,
68247,1,2,15,15,15
68247,2,2,3,3,3
68247,3,2,12,12,12
68247,4,2,12,12,12
68247,5,2,12,12,12
68247,6,99,,,
68256,1,2,3,3,3
68256,2,2,15,12,12
68256,3,2,9,9,9
68256,4,99,,,
68256,5,99,,,
68256,6,99,,,
68257,1,4,6,6,6
68257,2,4,9,9,9
68257,3,4,9,9,9
68257,4,4,15,15,15
68257,5,4,15,15,15
68257,6,99,,,
68258,1,3,6,6,6
68258,2,3,3,3,3
68258,3,3,15,15,15
68258,4,99,,,
68258,5,99,,,
68258,6,99,,,
68262,1,1,12,12,12
68262,2,1,6,6,6
68262,3,1,9,9,9
68262,4,1,9,9,9
68262,5,1,15,15,15
68262,6,100,,,
68275,1,4,6,6,6
68275,2,4,12,12,12
68275,3,4,15,15,15
68275,4,100,,,
68275,5,100,,,
68275,6,100,,,
68278,1,2,12,12,12
68278,2,2,15,15,15
68278,3,2,12,12,12
68278,4,99,,,
68278,5,99,,,
68278,6,99,,,
68293,1,3,18,15,15
68293,2,3,18,18,18
68293,3,3,18,18,18
